Broad Habitat,Baseline Habitat,Distinctiveness,Poor - Moderate,Poor - Good,Moderate - Good,Species-rich native hedgerow with trees - associated with bank or ditch,Species-rich native hedgerow with trees,Species-rich native hedgerow - associated with bank or ditch,Native hedgerow with trees - associated with bank or ditch,Species-rich native hedgerow,Native hedgerow - associated with bank or ditch,Native hedgerow with trees,Ecologically valuable line of trees,Ecologically valuable line of trees - associated with bank or ditch,Native hedgerow,Line of trees,Line of trees - associated with bank or ditch,Non-native and ornamental hedgerow
Hedgerow,Species-rich native hedgerow with trees - associated with bank or ditch,V.High,6,10,4,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Species-rich native hedgerow with trees,High,6,10,4,5,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Species-rich native hedgerow - associated with bank or ditch,High,3,5,2,10,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Native hedgerow with trees - associated with bank or ditch,High,6,10,4,5,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Species-rich native hedgerow,Medium,3,5,2,10,10,5,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Native hedgerow - associated with bank or ditch,Medium,3,5,2,10,Not Possible,5,10,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Native hedgerow with trees,Medium,6,10,4,5,5,5,5,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Ecologically valuable line of trees,Medium,20,30,10,12,12,Not Possible,12,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Ecologically valuable line of trees - associated with bank or ditch,Medium,20,30,10,12,Not Possible,Not Possible,12,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Native hedgerow,Low,3,5,2,10,10,5,10,5,6,10,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Line of trees,Low,20,30,10,12,12,Not Possible,12,Not Possible,Not Possible,12,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Line of trees - associated with bank or ditch,Low,20,30,10,12,Not Possible,Not Possible,12,Not Possible,Not Possible,12,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible
Hedgerow,Non-native and ornamental hedgerow,V.Low,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible,Not Possible